DateTime,Currency,Impact,Event,Actual,Forecast,Previous,Detail
2025-01-01T00:00:00-08:00,GBP,Non-Economic,Bank Holiday,,,,
2025-01-01T17:45:00-08:00,CNY,Low Impact Expected,RatingDog Manufacturing PMI,50.5,51.6,51.5,
2025-01-01T21:30:00-08:00,AUD,Low Impact Expected,Commodity Prices y/y,-10.7%,,-10.8%,
2025-01-01T23:00:00-08:00,GBP,Low Impact Expected,Nationwide HPI m/m,0.7%,0.1%,1.2%,
2025-01-01T23:59:59-08:00,JPY,Non-Economic,Bank Holiday,,,,
2025-01-01T23:59:59-08:00,USD,Non-Economic,Bank Holiday,,,,
2025-01-01T23:59:59-08:00,CAD,Non-Economic,Bank Holiday,,,,
2025-01-01T23:59:59-08:00,CHF,Non-Economic,Bank Holiday,,,,
2025-01-01T23:59:59-08:00,NZD,Non-Economic,Bank Holiday,,,,
2025-01-02T00:15:00-08:00,EUR,Low Impact Expected,Spanish Manufacturing PMI,53.3,53.6,53.1,
2025-01-02T00:45:00-08:00,EUR,Low Impact Expected,Italian Manufacturing PMI,46.2,44.9,44.5,
2025-01-02T00:50:00-08:00,EUR,Low Impact Expected,French Final Manufacturing PMI,41.9,41.9,41.9,
2025-01-02T00:55:00-08:00,EUR,Low Impact Expected,German Final Manufacturing PMI,42.5,42.5,42.5,
2025-01-02T01:00:00-08:00,EUR,Low Impact Expected,Final Manufacturing PMI,45.1,45.2,45.2,
2025-01-02T01:00:00-08:00,EUR,Low Impact Expected,M3 Money Supply y/y,3.8%,3.5%,3.4%,
2025-01-02T01:00:00-08:00,EUR,Low Impact Expected,Private Loans y/y,0.9%,0.9%,0.8%,
2025-01-02T01:30:00-08:00,GBP,Low Impact Expected,Final Manufacturing PMI,47.0,47.3,47.3,
2025-01-02T05:30:00-08:00,USD,High Impact Expected,Unemployment Claims,211K,222K,220K,
2025-01-02T06:30:00-08:00,CAD,Low Impact Expected,Manufacturing PMI,52.2,,52.0,
2025-01-02T06:45:00-08:00,USD,Medium Impact Expected,Final Manufacturing PMI,49.4,48.3,48.3,
2025-01-02T07:00:00-08:00,USD,Low Impact Expected,Construction Spending m/m,0.0%,0.3%,0.5%,
2025-01-02T08:00:00-08:00,USD,Medium Impact Expected,Crude Oil Inventories,-1.2M,-2.4M,-4.2M,
2025-01-02T23:59:59-08:00,JPY,Non-Economic,Bank Holiday,,,,
2025-01-03T00:00:00-08:00,EUR,Low Impact Expected,Spanish Unemployment Change,-25.3K,-46.5K,-16.0K,
2025-01-03T00:30:00-08:00,CHF,Low Impact Expected,Manufacturing PMI,48.4,48.4,48.5,
2025-01-03T00:55:00-08:00,EUR,Low Impact Expected,German Unemployment Change,10K,15K,6K,
2025-01-03T01:30:00-08:00,GBP,Low Impact Expected,Net Lending to Individuals m/m,3.4B,4.4B,4.5B,
2025-01-03T01:30:00-08:00,GBP,Low Impact Expected,Mortgage Approvals,66K,69K,68K,
2025-01-03T01:30:00-08:00,GBP,Low Impact Expected,M4 Money Supply m/m,0.0%,0.1%,-0.2%,
2025-01-03T07:00:00-08:00,USD,High Impact Expected,ISM Manufacturing PMI,49.3,48.2,48.4,
2025-01-03T07:00:00-08:00,USD,Medium Impact Expected,ISM Manufacturing Prices,52.5,51.5,50.3,
2025-01-03T07:30:00-08:00,USD,Low Impact Expected,Natural Gas Storage,-116B,-127B,-93B,
2025-01-03T08:00:00-08:00,USD,Low Impact Expected,FOMC Member Barkin Speaks,,,,
2025-01-03T23:59:59-08:00,USD,Low Impact Expected,Wards Total Vehicle Sales,16.8M,16.5M,16.5M,
2025-01-04T14:30:00-08:00,USD,Low Impact Expected,FOMC Member Daly Speaks,,,,
2025-01-04T14:30:00-08:00,USD,Low Impact Expected,FOMC Member Kugler Speaks,,,,
2025-01-05T10:15:00-08:00,USD,Low Impact Expected,FOMC Member Daly Speaks,,,,
2025-01-05T17:45:00-08:00,CNY,Low Impact Expected,RatingDog Services PMI,52.2,51.4,51.5,
2025-01-05T23:30:00-08:00,CHF,Low Impact Expected,Retail Sales y/y,0.8%,1.3%,1.5%,
2025-01-05T23:59:59-08:00,EUR,Non-Economic,Italian Bank Holiday,,,,
2025-01-05T23:59:59-08:00,EUR,High Impact Expected,German Prelim CPI m/m,0.4%,0.3%,-0.2%,
2025-01-06T00:15:00-08:00,EUR,Low Impact Expected,Spanish Services PMI,57.3,54.1,53.1,
2025-01-06T00:45:00-08:00,EUR,Low Impact Expected,Italian Services PMI,50.7,50.0,49.2,
2025-01-06T00:50:00-08:00,EUR,Low Impact Expected,French Final Services PMI,49.3,48.2,48.2,
2025-01-06T00:55:00-08:00,EUR,Low Impact Expected,German Final Services PMI,51.2,51.0,51.0,
2025-01-06T01:00:00-08:00,EUR,Low Impact Expected,Final Services PMI,51.6,51.4,51.4,
2025-01-06T01:30:00-08:00,GBP,Low Impact Expected,Final Services PMI,51.1,51.4,51.4,
2025-01-06T01:30:00-08:00,EUR,Low Impact Expected,Sentix Investor Confidence,-17.7,-17.7,-17.5,
2025-01-06T06:30:00-08:00,USD,Low Impact Expected,FOMC Member Cook Speaks,,,,
2025-01-06T06:45:00-08:00,USD,Medium Impact Expected,Final Services PMI,56.8,58.5,58.5,
2025-01-06T07:00:00-08:00,USD,Low Impact Expected,Factory Orders m/m,-0.4%,-0.3%,0.5%,
2025-01-06T15:50:00-08:00,JPY,Low Impact Expected,Monetary Base y/y,-1.0%,-0.2%,-0.3%,
2025-01-06T16:01:00-08:00,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,3.1%,-0.2%,-3.4%,
2025-01-06T16:30:00-08:00,AUD,Low Impact Expected,Building Approvals m/m,-3.6%,-0.9%,5.2%,
2025-01-06T19:35:00-08:00,JPY,Low Impact Expected,10-y Bond Auction,1.14|3.4,,1.08|3.1,
2025-01-06T23:00:00-08:00,GBP,Low Impact Expected,Halifax HPI m/m,-0.2%,0.8%,1.2%,
2025-01-06T23:30:00-08:00,CHF,High Impact Expected,CPI m/m,-0.1%,-0.1%,-0.1%,
2025-01-06T23:45:00-08:00,EUR,Low Impact Expected,French Prelim CPI m/m,0.2%,0.3%,-0.1%,
2025-01-07T01:00:00-08:00,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,5.7%,5.8%,5.8%,
2025-01-07T01:30:00-08:00,GBP,Medium Impact Expected,Construction PMI,53.3,54.3,55.2,
2025-01-07T01:30:00-08:00,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,-12.5B,-11.5B,-15.2B,
2025-01-07T02:00:00-08:00,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,2.7%,2.7%,2.7%,
2025-01-07T02:00:00-08:00,EUR,Medium Impact Expected,CPI Flash Estimate y/y,2.4%,2.4%,2.2%,
2025-01-07T02:00:00-08:00,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.1%,0.3%,0.0%,
2025-01-07T02:00:00-08:00,EUR,Low Impact Expected,Unemployment Rate,6.3%,6.3%,6.3%,
2025-01-07T02:02:00-08:00,GBP,Low Impact Expected,30-y Bond Auction,5.20|2.7,,4.83|3.1,
2025-01-07T05:00:00-08:00,USD,Low Impact Expected,FOMC Member Barkin Speaks,,,,
2025-01-07T05:30:00-08:00,CAD,Low Impact Expected,Trade Balance,-0.3B,-0.8B,-0.5B,
2025-01-07T05:30:00-08:00,USD,Low Impact Expected,Trade Balance,-78.2B,-78.3B,-73.6B,
2025-01-07T06:54:00-08:00,NZD,Low Impact Expected,GDT Price Index,-1.4%,,-2.8%,
2025-01-07T07:00:00-08:00,CAD,Medium Impact Expected,Ivey PMI,54.7,55.4,52.3,
2025-01-07T07:00:00-08:00,USD,High Impact Expected,ISM Services PMI,54.1,53.5,52.1,
2025-01-07T07:00:00-08:00,USD,High Impact Expected,JOLTS Job Openings,8.10M,7.73M,7.84M,
2025-01-07T10:01:00-08:00,USD,Low Impact Expected,10-y Bond Auction,4.68|2.5,,4.24|2.7,
2025-01-07T13:30:00-08:00,USD,Low Impact Expected,API Weekly Statistical Bulletin,,,,
2025-01-07T16:00:00-08:00,NZD,Low Impact Expected,ANZ Commodity Prices m/m,0.2%,,2.9%,
2025-01-07T16:30:00-08:00,AUD,High Impact Expected,CPI y/y,2.3%,2.2%,2.1%,
2025-01-07T21:00:00-08:00,JPY,Low Impact Expected,Consumer Confidence,36.2,36.6,36.4,
2025-01-07T23:00:00-08:00,EUR,Low Impact Expected,German Factory Orders m/m,-5.4%,-0.3%,-1.5%,
2025-01-07T23:00:00-08:00,EUR,Low Impact Expected,German Retail Sales m/m,-0.6%,0.5%,-0.3%,
2025-01-07T23:45:00-08:00,EUR,Low Impact Expected,French Trade Balance,-7.1B,-7.0B,-7.5B,
2025-01-08T02:00:00-08:00,EUR,Low Impact Expected,PPI m/m,1.6%,1.5%,0.4%,
2025-01-08T02:38:00-08:00,EUR,Low Impact Expected,German 10-y Bond Auction,2.51|2.1,,2.07|2.4,
2025-01-08T05:00:00-08:00,USD,Medium Impact Expected,FOMC Member Waller Speaks,,,,
2025-01-08T05:15:00-08:00,USD,High Impact Expected,ADP Non-Farm Employment Change,122K,139K,146K,
2025-01-08T05:30:00-08:00,USD,High Impact Expected,Unemployment Claims,201K,214K,211K,
2025-01-08T07:00:00-08:00,USD,Low Impact Expected,Final Wholesale Inventories m/m,-0.2%,-0.2%,-0.2%,
2025-01-08T07:30:00-08:00,USD,Medium Impact Expected,Crude Oil Inventories,-1.0M,-1.8M,-1.2M,
2025-01-08T09:00:00-08:00,USD,Low Impact Expected,Natural Gas Storage,-40B,-39B,-116B,
2025-01-08T10:01:00-08:00,USD,Low Impact Expected,30-y Bond Auction,4.91|2.5,,4.54|2.4,
2025-01-08T11:00:00-08:00,USD,High Impact Expected,FOMC Meeting Minutes,,,,
2025-01-08T12:00:00-08:00,USD,Low Impact Expected,Consumer Credit m/m,-7.5B,10.3B,17.3B,
2025-01-08T15:30:00-08:00,JPY,Low Impact Expected,Average Cash Earnings y/y,3.0%,2.7%,2.2%,
2025-01-08T16:01:00-08:00,GBP,Low Impact Expected,BRC Shop Price Index y/y,-1.0%,,-0.6%,
2025-01-08T16:30:00-08:00,AUD,Low Impact Expected,Goods Trade Balance,7.08B,5.62B,5.67B,
2025-01-08T16:30:00-08:00,AUD,Medium Impact Expected,Retail Sales m/m,0.8%,1.0%,0.5%,
2025-01-08T17:30:00-08:00,CNY,Medium Impact Expected,CPI y/y,0.1%,0.1%,0.2%,
2025-01-08T17:30:00-08:00,CNY,Medium Impact Expected,PPI y/y,-2.3%,-2.4%,-2.5%,
2025-01-08T19:35:00-08:00,JPY,Low Impact Expected,30-y Bond Auction,2.30|3.7,,2.29|3.5,
2025-01-08T23:00:00-08:00,EUR,Low Impact Expected,German Industrial Production m/m,1.5%,0.5%,-0.4%,
2025-01-08T23:00:00-08:00,EUR,Low Impact Expected,German Trade Balance,19.7B,14.7B,13.4B,
2025-01-09T00:00:00-08:00,CHF,Low Impact Expected,Foreign Currency Reserves,731B,,725B,
2025-01-09T01:00:00-08:00,EUR,Low Impact Expected,ECB Economic Bulletin,,,,
2025-01-09T01:59:00-08:00,EUR,Low Impact Expected,French 10-y Bond Auction,3.40|2.0,,3.24|2.0,
2025-01-09T02:00:00-08:00,EUR,Low Impact Expected,Retail Sales m/m,0.1%,0.3%,-0.3%,
2025-01-09T04:30:00-08:00,USD,Low Impact Expected,Challenger Job Cuts y/y,11.4%,,26.8%,
2025-01-09T06:00:00-08:00,USD,Low Impact Expected,FOMC Member Collins Speaks,,,,
2025-01-09T06:00:00-08:00,USD,Low Impact Expected,FOMC Member Harker Speaks,,,,
2025-01-09T08:00:00-08:00,GBP,Low Impact Expected,MPC Member Breeden Speaks,,,,
2025-01-09T09:45:00-08:00,USD,Low Impact Expected,FOMC Member Barkin Speaks,,,,
2025-01-09T10:30:00-08:00,USD,Low Impact Expected,FOMC Member Schmid Speaks,,,,
2025-01-09T10:35:00-08:00,USD,Low Impact Expected,FOMC Member Bowman Speaks,,,,
2025-01-09T15:30:00-08:00,JPY,Low Impact Expected,Household Spending y/y,-0.4%,-0.8%,-1.3%,
2025-01-09T16:30:00-08:00,AUD,Low Impact Expected,Household Spending m/m,0.4%,0.9%,0.9%,
2025-01-09T21:00:00-08:00,JPY,Low Impact Expected,Leading Indicators,107.0%,107.2%,109.1%,
2025-01-09T22:45:00-08:00,CHF,Low Impact Expected,Unemployment Rate,2.6%,2.7%,2.6%,
2025-01-09T23:45:00-08:00,EUR,Low Impact Expected,French Consumer Spending m/m,0.3%,0.1%,-0.3%,
2025-01-09T23:45:00-08:00,EUR,Low Impact Expected,French Industrial Production m/m,0.2%,-0.1%,-0.3%,
2025-01-10T01:00:00-08:00,EUR,Low Impact Expected,Italian Retail Sales m/m,-0.4%,0.2%,-0.5%,
2025-01-10T05:30:00-08:00,USD,High Impact Expected,Unemployment Rate,4.1%,4.2%,4.2%,
2025-01-10T05:30:00-08:00,USD,High Impact Expected,Non-Farm Employment Change,256K,164K,212K,
2025-01-10T05:30:00-08:00,USD,High Impact Expected,Average Hourly Earnings m/m,0.3%,0.3%,0.4%,
2025-01-10T05:30:00-08:00,CAD,High Impact Expected,Unemployment Rate,6.7%,6.9%,6.8%,
2025-01-10T05:30:00-08:00,CAD,High Impact Expected,Employment Change,90.9K,24.9K,50.5K,
2025-01-10T05:30:00-08:00,CAD,Low Impact Expected,Building Permits m/m,-5.9%,1.3%,-4.1%,
2025-01-10T07:00:00-08:00,USD,Medium Impact Expected,Prelim UoM Consumer Sentiment,73.2,74.0,74.0,
2025-01-10T07:00:00-08:00,USD,Medium Impact Expected,Prelim UoM Inflation Expectations,3.3%,,2.8%,
2025-01-10T07:05:00-08:00,USD,Low Impact Expected,FOMC Member Goolsbee Speaks,,,,
2025-01-12T13:45:00-08:00,NZD,Low Impact Expected,Building Consents m/m,5.3%,,-5.2%,
2025-01-12T16:00:00-08:00,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.6%,,0.2%,
2025-01-12T16:30:00-08:00,AUD,Low Impact Expected,ANZ Job Advertisements m/m,0.3%,,-1.8%,
2025-01-12T19:02:00-08:00,CNY,Low Impact Expected,Trade Balance,753B,730B,693B,
2025-01-12T19:03:00-08:00,CNY,Low Impact Expected,USD-Denominated Trade Balance,104.8B,100.0B,97.4B,
2025-01-12T23:59:59-08:00,JPY,Non-Economic,Bank Holiday,,,,
2025-01-13T00:00:00-08:00,CHF,Low Impact Expected,SECO Consumer Climate,-30,-38,-37,
2025-01-13T13:00:00-08:00,NZD,Low Impact Expected,NZIER Business Confidence,16,,-1,
2025-01-13T15:30:00-08:00,AUD,Low Impact Expected,Westpac Consumer Sentiment,-0.7%,,-2.0%,
2025-01-13T15:50:00-08:00,JPY,Low Impact Expected,Bank Lending y/y,3.1%,3.1%,2.9%,
2025-01-13T15:50:00-08:00,JPY,Low Impact Expected,Current Account,3.03T,2.59T,2.41T,
2025-01-13T21:00:00-08:00,JPY,Low Impact Expected,Economy Watchers Sentiment,49.9,49.4,49.4,
2025-01-13T23:05:00-08:00,CNY,Low Impact Expected,M2 Money Supply y/y,7.3%,7.3%,7.1%,
2025-01-13T23:09:00-08:00,CNY,Medium Impact Expected,New Loans,990B,890B,580B,
2025-01-13T23:45:00-08:00,EUR,Low Impact Expected,French Gov Budget Balance,-172.5B,,-157.4B,
2025-01-14T00:00:00-08:00,GBP,Low Impact Expected,10-y Bond Auction,,,,
2025-01-14T00:30:00-08:00,GBP,Low Impact Expected,MPC Member Breeden Speaks,,,,
2025-01-14T01:00:00-08:00,EUR,Low Impact Expected,Italian Industrial Production m/m,0.3%,0.0%,0.1%,
2025-01-14T03:00:00-08:00,USD,Low Impact Expected,NFIB Small Business Index,105.1,101.3,101.7,
2025-01-14T05:30:00-08:00,USD,High Impact Expected,Core PPI m/m,0.0%,0.2%,0.2%,
2025-01-14T05:30:00-08:00,USD,High Impact Expected,PPI m/m,0.2%,0.4%,0.4%,
2025-01-14T07:00:00-08:00,USD,Low Impact Expected,FOMC Member Schmid Speaks,,,,
2025-01-14T07:06:00-08:00,USD,Low Impact Expected,RCM/TIPP Economic Optimism,51.9,55.1,54.0,
2025-01-14T11:00:00-08:00,USD,Low Impact Expected,Federal Budget Balance,-86.7B,-77.6B,-366.8B,
2025-01-14T12:00:00-08:00,USD,Low Impact Expected,FOMC Member Williams Speaks,,,,
2025-01-14T13:30:00-08:00,USD,Low Impact Expected,API Weekly Statistical Bulletin,,,,
2025-01-14T15:50:00-08:00,JPY,Low Impact Expected,M2 Money Stock y/y,1.3%,1.2%,1.2%,
2025-01-14T21:58:00-08:00,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,11.2%,,3.0%,
2025-01-14T23:00:00-08:00,EUR,Low Impact Expected,German WPI m/m,0.1%,0.1%,0.0%,
2025-01-14T23:00:00-08:00,GBP,High Impact Expected,CPI y/y,2.5%,2.6%,2.6%,
2025-01-14T23:00:00-08:00,GBP,Low Impact Expected,Core CPI y/y,3.2%,3.4%,3.5%,
2025-01-14T23:00:00-08:00,GBP,Low Impact Expected,PPI Input m/m,0.1%,0.2%,0.0%,
2025-01-14T23:00:00-08:00,GBP,Low Impact Expected,PPI Output m/m,0.1%,0.1%,0.4%,
2025-01-14T23:00:00-08:00,GBP,Low Impact Expected,RPI y/y,3.5%,3.8%,3.6%,
2025-01-14T23:45:00-08:00,EUR,Low Impact Expected,French Final CPI m/m,0.2%,0.2%,0.2%,
2025-01-15T01:30:00-08:00,GBP,Low Impact Expected,HPI y/y,3.3%,3.5%,3.4%,
2025-01-15T02:00:00-08:00,EUR,Low Impact Expected,Industrial Production m/m,0.2%,0.3%,0.2%,
2025-01-15T02:02:00-08:00,GBP,Low Impact Expected,10-y Bond Auction,4.81|2.8,,4.33|2.9,
2025-01-15T02:34:00-08:00,EUR,Low Impact Expected,German 30-y Bond Auction,2.84|2.8,,2.55|3.6,
2025-01-15T05:30:00-08:00,USD,Medium Impact Expected,Empire State Manufacturing Index,-12.6,2.7,0.2,
2025-01-15T05:30:00-08:00,USD,High Impact Expected,CPI y/y,2.9%,2.9%,2.7%,
2025-01-15T05:30:00-08:00,USD,High Impact Expected,CPI m/m,0.4%,0.4%,0.3%,
2025-01-15T05:30:00-08:00,CAD,Low Impact Expected,Wholesale Sales m/m,-0.2%,-0.6%,1.3%,
2025-01-15T05:30:00-08:00,CAD,Low Impact Expected,Manufacturing Sales m/m,0.8%,0.4%,2.1%,
2025-01-15T05:30:00-08:00,USD,High Impact Expected,Core CPI m/m,0.2%,0.3%,0.3%,
2025-01-15T06:20:00-08:00,USD,Low Impact Expected,FOMC Member Barkin Speaks,,,,
2025-01-15T07:00:00-08:00,USD,Low Impact Expected,FOMC Member Kashkari Speaks,,,,
2025-01-15T07:30:00-08:00,USD,Medium Impact Expected,Crude Oil Inventories,-2.0M,-1.0M,-1.0M,
2025-01-15T08:00:00-08:00,USD,Low Impact Expected,FOMC Member Williams Speaks,,,,
2025-01-15T08:30:00-08:00,GBP,Low Impact Expected,MPC Member Taylor Speaks,,,,
2025-01-15T09:00:00-08:00,USD,Low Impact Expected,FOMC Member Goolsbee Speaks,,,,
2025-01-15T11:00:00-08:00,USD,Low Impact Expected,Beige Book,,,,
2025-01-15T13:45:00-08:00,NZD,Low Impact Expected,FPI m/m,0.1%,,-0.1%,
2025-01-15T15:50:00-08:00,JPY,Low Impact Expected,PPI y/y,3.8%,3.8%,3.8%,
2025-01-15T16:00:00-08:00,AUD,Low Impact Expected,MI Inflation Expectations,4.0%,,4.2%,
2025-01-15T16:01:00-08:00,GBP,Low Impact Expected,RICS House Price Balance,28%,28%,24%,
2025-01-15T16:30:00-08:00,AUD,High Impact Expected,Employment Change,56.3K,14.5K,28.2K,
2025-01-15T16:30:00-08:00,AUD,High Impact Expected,Unemployment Rate,4.0%,4.0%,3.9%,
2025-01-15T23:00:00-08:00,GBP,Low Impact Expected,Industrial Production m/m,-0.4%,0.1%,-0.6%,
2025-01-15T23:00:00-08:00,GBP,Low Impact Expected,Manufacturing Production m/m,-0.3%,-0.2%,-0.6%,
2025-01-15T23:00:00-08:00,GBP,Low Impact Expected,Goods Trade Balance,-19.3B,-18.0B,-19.3B,
2025-01-15T23:00:00-08:00,GBP,Low Impact Expected,Index of Services 3m/3m,0.0%,0.1%,0.0%,
2025-01-15T23:00:00-08:00,GBP,High Impact Expected,GDP m/m,0.1%,0.2%,-0.1%,
2025-01-15T23:00:00-08:00,EUR,Low Impact Expected,German Final CPI m/m,0.5%,0.4%,0.4%,
2025-01-15T23:00:00-08:00,GBP,Low Impact Expected,Construction Output m/m,0.4%,0.4%,-0.3%,
2025-01-16T00:00:00-08:00,GBP,Low Impact Expected,30-y Bond Auction,,,,
2025-01-16T01:30:00-08:00,GBP,Low Impact Expected,BOE Credit Conditions Survey,,,,
2025-01-16T02:00:00-08:00,EUR,Low Impact Expected,Italian Trade Balance,4.22B,4.50B,5.07B,
2025-01-16T02:00:00-08:00,EUR,Low Impact Expected,Trade Balance,12.9B,11.8B,7.0B,
2025-01-16T04:30:00-08:00,EUR,Low Impact Expected,ECB Monetary Policy Meeting Accounts,,,,
2025-01-16T04:45:00-08:00,GBP,Low Impact Expected,NIESR GDP Estimate,0.0%,,0.0%,
2025-01-16T05:15:00-08:00,CAD,Low Impact Expected,Housing Starts,231K,252K,267K,
2025-01-16T05:30:00-08:00,USD,High Impact Expected,Core Retail Sales m/m,0.4%,0.5%,0.2%,
2025-01-16T05:30:00-08:00,USD,High Impact Expected,Retail Sales m/m,0.4%,0.6%,0.8%,
2025-01-16T05:30:00-08:00,USD,High Impact Expected,Unemployment Claims,217K,210K,203K,
2025-01-16T05:30:00-08:00,USD,Medium Impact Expected,Philly Fed Manufacturing Index,44.3,-5.2,-16.4,
2025-01-16T05:30:00-08:00,USD,Low Impact Expected,Import Prices m/m,0.1%,-0.1%,0.1%,
2025-01-16T07:00:00-08:00,USD,Low Impact Expected,Business Inventories m/m,0.1%,0.1%,0.0%,
2025-01-16T07:00:00-08:00,USD,Low Impact Expected,NAHB Housing Market Index,47,45,46,
2025-01-16T07:30:00-08:00,AUD,Low Impact Expected,CB Leading Index m/m,0.7%,,0.1%,
2025-01-16T07:30:00-08:00,USD,Low Impact Expected,Natural Gas Storage,-258B,-260B,-40B,
2025-01-16T09:30:00-08:00,CAD,Low Impact Expected,Gov Council Member Gravelle Speaks,,,,
2025-01-16T13:30:00-08:00,NZD,Low Impact Expected,BusinessNZ Manufacturing Index,45.9,,45.2,
2025-01-16T17:30:00-08:00,CNY,Low Impact Expected,New Home Prices m/m,-0.08%,,-0.20%,
2025-01-16T18:00:00-08:00,CNY,Medium Impact Expected,GDP q/y,5.4%,5.0%,4.6%,
2025-01-16T18:00:00-08:00,CNY,Medium Impact Expected,Industrial Production y/y,6.2%,5.4%,5.4%,
