DateTime,Currency,Impact,Event,Actual,Forecast,Previous,Detail
2025-06-01T00:00:00-08:00,NZD,Non-Economic,Bank Holiday,,,,
2025-06-01T00:00:00-08:00,CNY,Non-Economic,Bank Holiday,,,,
2025-06-01T00:00:00-08:00,CHF,Medium Impact Expected,GDP q/q,0.5%,0.4%,0.2%,
2025-06-01T00:00:00-08:00,EUR,Non-Economic,Italian Bank Holiday,,,,
2025-06-01T00:15:00-08:00,EUR,Low Impact Expected,Spanish Manufacturing PMI,50.5,48.3,48.1,
2025-06-01T00:30:00-08:00,CHF,Low Impact Expected,Manufacturing PMI,42.1,48.1,45.8,
2025-06-01T00:45:00-08:00,EUR,Low Impact Expected,Italian Manufacturing PMI,49.2,49.5,49.3,
2025-06-01T00:50:00-08:00,EUR,Low Impact Expected,French Final Manufacturing PMI,49.8,49.5,49.5,
2025-06-01T00:55:00-08:00,EUR,Low Impact Expected,German Final Manufacturing PMI,48.3,48.8,48.8,
2025-06-01T01:00:00-08:00,EUR,Low Impact Expected,Final Manufacturing PMI,49.4,49.4,49.4,
2025-06-01T01:30:00-08:00,GBP,Low Impact Expected,Net Lending to Individuals m/m,0.8B,2.8B,13.8B,
2025-06-01T01:30:00-08:00,GBP,Low Impact Expected,Final Manufacturing PMI,46.4,45.1,45.1,
2025-06-01T01:30:00-08:00,GBP,Low Impact Expected,M4 Money Supply m/m,0.0%,0.2%,0.3%,
2025-06-01T01:30:00-08:00,GBP,Low Impact Expected,Mortgage Approvals,60K,65K,64K,
2025-06-01T06:30:00-08:00,CAD,Low Impact Expected,Manufacturing PMI,46.1,,45.3,
2025-06-01T06:45:00-08:00,USD,Low Impact Expected,Final Manufacturing PMI,52.0,52.3,52.3,
2025-06-01T07:00:00-08:00,USD,Low Impact Expected,Construction Spending m/m,-0.4%,0.4%,-0.5%,
2025-06-01T07:00:00-08:00,USD,Medium Impact Expected,ISM Manufacturing Prices,69.4,70.2,69.8,
2025-06-01T07:00:00-08:00,USD,High Impact Expected,ISM Manufacturing PMI,48.5,49.3,48.7,
2025-06-01T07:15:00-08:00,USD,Low Impact Expected,FOMC Member Logan Speaks,,,,
2025-06-01T09:45:00-08:00,USD,Low Impact Expected,FOMC Member Goolsbee Speaks,,,,
2025-06-01T09:59:00-08:00,GBP,Low Impact Expected,MPC Member Mann Speaks,,,,
2025-06-01T10:00:00-08:00,USD,High Impact Expected,Fed Chair Powell Speaks,,,,
2025-06-01T10:00:00-08:00,GBP,Low Impact Expected,MPC Member Greene Speaks,,,,
2025-06-01T15:45:00-08:00,NZD,Low Impact Expected,Overseas Trade Index q/q,1.9%,3.6%,3.1%,
2025-06-01T16:50:00-08:00,JPY,Low Impact Expected,Monetary Base y/y,-3.4%,-4.2%,-4.8%,
2025-06-01T16:50:00-08:00,JPY,Low Impact Expected,Capital Spending q/y,6.4%,3.8%,-0.2%,
2025-06-01T17:00:00-08:00,USD,Medium Impact Expected,FOMC Member Waller Speaks,,,,
2025-06-01T17:30:00-08:00,JPY,Low Impact Expected,Final Manufacturing PMI,49.4,49.0,49.0,
2025-06-01T18:00:00-08:00,AUD,Low Impact Expected,MI Inflation Gauge m/m,-0.4%,,0.6%,
2025-06-01T18:30:00-08:00,AUD,Low Impact Expected,ANZ Job Advertisements m/m,-1.2%,,0.5%,
2025-06-01T18:30:00-08:00,AUD,Medium Impact Expected,Monetary Policy Meeting Minutes,,,,
2025-06-01T18:30:00-08:00,AUD,Low Impact Expected,Current Account,-14.7B,-12.4B,-12.5B,
2025-06-01T18:30:00-08:00,AUD,Low Impact Expected,Company Operating Profits q/q,-0.5%,1.2%,5.9%,
2025-06-01T18:45:00-08:00,CNY,Low Impact Expected,RatingDog Manufacturing PMI,48.3,50.7,50.4,
2025-06-01T20:05:00-08:00,AUD,Low Impact Expected,RBA Assist Gov Hunter Speaks,,,,
2025-06-01T20:35:00-08:00,JPY,Low Impact Expected,10-y Bond Auction,1.51|3.7,,1.27|2.5,
2025-06-01T23:00:00-08:00,GBP,Low Impact Expected,Nationwide HPI m/m,0.5%,0.0%,-0.6%,
2025-06-01T23:30:00-08:00,AUD,Low Impact Expected,Commodity Prices y/y,-7.7%,,-6.1%,
2025-06-01T23:30:00-08:00,CHF,High Impact Expected,CPI m/m,0.1%,0.1%,0.0%,
2025-06-01T23:30:00-08:00,CHF,Low Impact Expected,Retail Sales y/y,1.3%,2.5%,2.2%,
2025-06-01T23:45:00-08:00,EUR,Low Impact Expected,French Gov Budget Balance,-69.3B,,-47.0B,
2025-06-03T00:00:00-08:00,EUR,Low Impact Expected,Spanish Unemployment Change,-57.8K,-68.5K,-67.4K,
2025-06-03T00:00:00-08:00,USD,Low Impact Expected,Wards Total Vehicle Sales,15.7M,16.0M,17.3M,
2025-06-03T00:15:00-08:00,EUR,Low Impact Expected,Spanish Services PMI,51.3,52.8,53.4,
2025-06-03T00:45:00-08:00,EUR,Low Impact Expected,Italian Services PMI,53.2,52.1,52.9,
2025-06-03T00:50:00-08:00,JPY,High Impact Expected,BOJ Gov Ueda Speaks,,,,
2025-06-03T00:50:00-08:00,EUR,Low Impact Expected,French Final Services PMI,48.9,47.4,47.4,
2025-06-03T00:55:00-08:00,EUR,Low Impact Expected,German Final Services PMI,47.1,47.2,47.2,
2025-06-03T01:00:00-08:00,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,5.9%,6.1%,6.0%,
2025-06-03T01:00:00-08:00,EUR,Low Impact Expected,Final Services PMI,49.7,48.9,48.9,
2025-06-03T01:30:00-08:00,GBP,Low Impact Expected,Final Services PMI,50.9,50.2,50.2,
2025-06-03T02:00:00-08:00,EUR,Medium Impact Expected,CPI Flash Estimate y/y,1.9%,2.0%,2.2%,
2025-06-03T02:00:00-08:00,EUR,Low Impact Expected,Unemployment Rate,6.2%,6.2%,6.2%,
2025-06-03T02:00:00-08:00,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,2.3%,2.4%,2.7%,
2025-06-03T02:15:00-08:00,GBP,Medium Impact Expected,Monetary Policy Report Hearings,,,,
2025-06-03T05:15:00-08:00,USD,High Impact Expected,ADP Non-Farm Employment Change,37K,111K,62K,
2025-06-03T05:30:00-08:00,USD,Low Impact Expected,FOMC Member Bostic Speaks,,,,
2025-06-03T05:30:00-08:00,CAD,Low Impact Expected,Labor Productivity q/q,0.2%,0.2%,0.6%,
2025-06-03T05:30:00-08:00,USD,Low Impact Expected,FOMC Member Cook Speaks,,,,
2025-06-03T06:45:00-08:00,CAD,High Impact Expected,BOC Rate Statement,,,,
2025-06-03T06:45:00-08:00,CAD,High Impact Expected,Overnight Rate,2.75%,2.75%,2.75%,
2025-06-03T06:45:00-08:00,USD,Low Impact Expected,Final Services PMI,53.7,52.3,52.3,
2025-06-03T07:00:00-08:00,USD,High Impact Expected,JOLTS Job Openings,7.39M,7.11M,7.19M,
2025-06-03T07:00:00-08:00,USD,High Impact Expected,ISM Services PMI,49.9,52.0,51.6,
2025-06-03T07:00:00-08:00,USD,Low Impact Expected,Factory Orders m/m,-3.7%,-3.1%,4.3%,
2025-06-03T07:04:00-08:00,USD,Low Impact Expected,RCM/TIPP Economic Optimism,49.2,49.1,47.9,
2025-06-03T07:30:00-08:00,USD,Low Impact Expected,Crude Oil Inventories,-4.3M,-2.9M,-2.8M,
2025-06-03T07:30:00-08:00,CAD,High Impact Expected,BOC Press Conference,,,,
2025-06-03T07:40:00-08:00,NZD,Low Impact Expected,GDT Price Index,-1.6%,,-0.9%,
2025-06-03T09:15:00-08:00,CHF,Low Impact Expected,Gov Board Member Tschudin Speaks,,,,
2025-06-03T09:45:00-08:00,USD,Low Impact Expected,FOMC Member Goolsbee Speaks,,,,
2025-06-03T10:00:00-08:00,USD,Low Impact Expected,FOMC Member Cook Speaks,,,,
2025-06-03T11:00:00-08:00,USD,Low Impact Expected,Beige Book,,,,
2025-06-03T12:30:00-08:00,USD,Low Impact Expected,FOMC Member Logan Speaks,,,,
2025-06-03T13:30:00-08:00,USD,Low Impact Expected,API Weekly Statistical Bulletin,,,,
2025-06-03T16:30:00-08:00,JPY,Low Impact Expected,Average Cash Earnings y/y,2.3%,2.6%,2.1%,
2025-06-03T18:00:00-08:00,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.9%,,0.0%,
2025-06-03T18:30:00-08:00,AUD,Low Impact Expected,Goods Trade Balance,5.41B,5.96B,6.90B,
2025-06-03T18:30:00-08:00,AUD,Low Impact Expected,Household Spending m/m,0.1%,0.2%,-0.3%,
